companyName,accountID,country,city,state,companyType,rapNetMemberSince,totalRating,yearsSinceJoining
Corinne Jewelers Inc.,2106,USA,Toms River,New Jersey,Independent Jeweler,2014-06-26T00:00:00,0,10
Coriolan Aur Smarald Srl,111390,ROMANIA,Iasi,,"Online Jewelry Store, Jewelry Manufacturer, Designer 1-5 Stores",2018-11-27T00:00:00,0,6
Cornerstone Diamonds Ltd.,66858,CANADA,RICHMOND,British Columbia,Diamond Dealer/Broker,2007-05-31T00:00:00,0,17
Corona Gems LLC,77444,USA,Scottsdale,Arizona,Jewelry Manufacturer,2011-03-02T00:00:00,0,13
Corona Jewellery Co.,13295,CANADA,Toronto,Ontario,Diamond Dealer/Broker,2002-10-21T00:00:00,0,22
Corona Overseas Ltd. - London 1,82733,UNITED KINGDOM,London,,Diamond Dealer/Broker,2014-08-27T09:04:10,0,10
"Corporacion Internacional de Joyas VM I, LLC.",121032,USA,Port St. Lucie,Florida,Jeweler ,2021-09-23T00:00:00,0,3
COSKUN JEWELLERY,65269,TURKEY,Istanbul,Adana,Independent Jeweler,2012-12-19T00:00:00,0,12
Cosmea LLC,94663,USA,New York,New York,Jewelry Manufacturer,2014-05-29T13:34:10,0,10
"DAMAS JEWELLERY LLC, DUBAI",33966,UAE,Dubai,AE,Independent Jeweler,2006-08-09T00:00:00,0,18
Damasci,90588,CANADA,Toronto,Alberta,Diamond Dealer/Broker,2013-08-01T00:00:00,0,11
DAMASO MARTINEZ S.L.,34707,SPAIN,Bilbao,,Jewelry Manufacturer,2018-07-05T00:00:00,0,6
Damiani Jewellers Ltd,34030,CANADA,Woodbridge,CA,Independent Jeweler 1-5 Stores,2007-11-08T00:00:00,0,17
Damico Diamonds Inc,125009,USA,San Diego,California,Diamond Dealer/Broker,2023-03-02T00:00:00,0,1
Dan Loya,128538,ISRAEL,Ramat Gan,Central District,Diamond Dealer/Broker,2024-07-17T00:00:00,0,Less than 1 year
Dan Martin Jewelers,118533,USA,Sanford,North Carolina,Jewelry Retailer,2021-01-07T00:00:00,0,3
Dana Walden,102080,USA,New York,New York,Designer,2019-05-10T00:00:00,0,5
DANABHAI  JEWELLERS,57655,INDIA,MUMBAI,Maharashtra,Jewelry Retail Chain 1-5 Stores,2010-09-28T00:00:00,0,14
DANAY JEWELS PRIVATE LIMITED,87747,INDIA,MUMBAI,Maharashtra,Jewelry Manufacturer,2013-01-16T00:00:00,0,11
Daniel Bezalel Dayagi,110888,ISRAEL,Tel Aviv,,Independent Jeweler 1-5 Stores,2019-03-19T00:00:00,0,5
Daniel Fine Jewelry and Design LLC,127127,USA,Dallas,Texas,Jeweler ,2024-02-02T17:43:00,0,Less than 1 year
DANIEL JEWELERS,27455,USA,Brewster,New York,Independent Jeweler,2021-03-11T00:00:00,0,3
Daniel Matat Jewlery Ltd.,110499,ISRAEL,Ramat Gan,,"Independent Jeweler, Jewelry Manufacturer",2018-08-22T00:00:00,0,6
Daniel Mossighi Inc.,105364,USA,Los Angeles,California,Diamond Dealer/Broker,2017-01-04T00:00:00,0,7
Daniel Nathan Trading,89629,SOUTH AFRICA,Melrose North,Eastern Cape,Diamond Manufacturer/Cutter,2013-05-22T00:00:00,0,11
DANIEL NESSIMY DIAMONDS.,35529,ISRAEL,Ramat Gan,,Diamond Manufacturer/Cutter,2005-12-27T00:00:00,0,19
Daniel Sklarin Trading,59194,USA,New York,New York,Diamond Dealer/Broker,2005-12-15T00:00:00,0,19
Daniel Starling Inc,123753,USA,San Diego,California,Designer,2022-08-25T15:30:00,0,2
DANIELA CALIFA,117029,MEXICO,Polanco,CDMX,Jewelry Retailer,2020-07-21T00:00:00,0,4
Daniela Diamonds,71819,USA,NEW YORK,New York,Independent Jeweler,2009-09-18T00:00:00,0,15
Daniella Design,78383,USA,Cedarhurst,New York,Diamond Dealer/Broker,2011-05-11T00:00:00,0,13
Danielli,101144,USA,New York,New York,Independent Jeweler,2015-10-28T00:00:00,0,9
DANIS,11242,GERMANY,Tiefenbronn,,Diamond Dealer/Broker,2012-02-23T00:00:00,0,12
Danny A. Designs LLC,123838,USA,,New Jersey,Wholesaler ,2022-09-07T00:00:00,0,2
D&J trading inc,100461,USA,Aventura,Florida,Diamond Dealer/Broker,2015-08-19T00:00:00,0,9
D&R Diam,126962,CANADA,,,Diamond Dealer/Broker,2024-01-02T18:18:00,0,Less than 1 year
D&T DIAMONDS BV,80897,NETHERLANDS,Rotterdam,,Diamond Dealer/Broker,2015-06-12T00:00:00,0,9
D''Joya,76314,UNITED KINGDOM,Birmingham,Aberdeen,"Diamond Dealer/Broker, Independent Jeweler",2011-06-30T00:00:00,0,13
D'ELEGANCE LLC,53866,USA,NEW YORK,New York,Jewelry Manufacturer,2021-09-01T00:00:00,0,3
d'Malke Jewelers,109386,USA,Wayne,New Jersey,Independent Jeweler,2018-04-11T00:00:00,0,6
D'or Jewelry,87837,USA,Ridgewood,New Jersey,Independent Jeweler,2013-01-21T00:00:00,0,11
D-ISM HK Ltd.,67615,HONG KONG,Kowloon,,Diamond Dealer/Broker,2009-10-02T00:00:00,0,15
D. ANILKUMAR & CO,128087,INDIA,SURAT,Gujarat,,2024-05-29T07:03:00,0,Less than 1 year
D. ARIHANT & CO,120410,INDIA,MUMBAI,Maharashtra,Jeweler ,2021-07-05T00:00:00,0,3
D. DIAM,71337,INDIA,MUMBAI,Maharashtra,"Diamond Manufacturer/Cutter, Jewelry Retail Chain",2009-07-01T00:00:00,0,15
D. DIAMOND FZCO,113118,UAE,DUBAI,,Jewelry Retail Chain,2019-05-02T00:00:00,0,5
D. J. Diam- Dhawal Jain,125470,INDIA,Mumbai,Maharashtra,Diamond Dealer/Broker,2023-05-04T00:00:00,0,1
D. K. BROTHERS,75020,INDIA,MUMBAI,Maharashtra,Diamond Dealer/Broker,2010-07-08T00:00:00,0,14
D. KHUSHALBHAI JEWELLERS,110615,INDIA,SURAT,Gujarat,Independent Jeweler,2018-09-03T00:00:00,0,6
D. Lichman Company LLC,126787,USA,Brea,California,Independent Jeweler 1-5 Stores,2023-11-28T00:00:00,0,1
D. Navinchandra Gems BVBA,113904,BELGIUM,Antwerp,Antwerp,"Diamond Manufacturer/Cutter, Diamond Dealer/Broker",2019-07-16T00:00:00,0,5
D. NITIN & CO.PVT LTD,53277,INDIA,MUMBAI,Maharashtra,Diamond Manufacturer/Cutter,2010-02-19T00:00:00,0,14
"D. Rao & Co, Inc.",68987,USA,New York,New York,Diamond Dealer/Broker,2008-04-17T00:00:00,0,16
"D.A. Enterprises of Tampa, Inc.",81314,USA,Tampa,Florida,Diamond Dealer/Broker,2011-12-14T00:00:00,0,13
D.A.DIAMONDS,113119,INDIA,MUMBAI,Maharashtra,Diamond Dealer/Broker,2019-05-02T00:00:00,0,5
D.A.Y.Y,80681,ISRAEL,Ramat Gan,,Diamond Manufacturer/Cutter,2011-11-01T00:00:00,0,13
D.ASHOKKUMAR AND COMPANY,84434,INDIA,MUMBAI,Maharashtra,Diamond Dealer/Broker,2012-06-11T00:00:00,0,12
D.B.O. Ltd.,65650,ISRAEL,Ramat Gan,,Diamond Manufacturer/Cutter,2008-03-18T00:00:00,0,16
D.C. Johnson Limited,107117,USA,Columbus,Ohio,Independent Jeweler 1-5 Stores,2017-07-31T00:00:00,0,7
Devans Diamond Co LLC,122993,USA,PITTSTON,Pennsylvania,Jewelry Retailer,2022-05-03T00:00:00,0,2
DEVI DIAM,123487,INDIA,Surat,Gujarat,Diamond Manufacturer/Cutter,2022-07-14T00:00:00,0,2
DEVI GEMS,122261,INDIA,MUMBAI,Maharashtra,,2022-02-10T00:00:00,0,2
DEVJI AURUM DMCC,76140,UAE,DUBAI,DUBAI,Diamond Dealer/Broker,2012-11-01T00:00:00,0,12
DeVon's Jewelers,9954,USA,Sacramento,California,Independent Jeweler,1999-02-26T00:00:00,0,25
DEVORE EXPORTS DMCC,125538,UAE,DUBAI,Dubai,Jewelry Retailer,2023-05-16T00:00:00,0,1
Devsar diamonds,127152,INDIA,Delhi,Delhi,Diamond Dealer/Broker,2024-02-08T00:00:00,0,Less than 1 year
DeWitt's Diamond and Gold Exchange,20722,USA,Cleveland,Ohio,Independent Jeweler,2019-09-18T00:00:00,0,5
Dexterous DMCC,123102,UAE,Dubai,,Diamond and Jewelry Dealer/Broker,2022-05-18T00:00:00,0,2
Dey Jewelers Inc.,106757,USA,New York,New York,Independent Jeweler,2017-06-13T00:00:00,0,7
DF HOMSY DIAMOND CONSULTING LLC,121628,USA,little rock,Arkansas,"Diamond Dealer/Broker, Independent Jeweler",2021-12-07T00:00:00,0,3
DG S.r.l.,121967,ITALY,Alessandria,Agrigento,Jewelry Appraiser,2022-01-11T00:00:00,0,2
"DGE Enterprises, LLC",71912,USA,Dallas,Texas,Diamond Dealer/Broker,2014-09-09T00:00:00,0,10
DHAKAN JEWELLERS,58039,UAE,DEIRA,DUBAI,Independent Jeweler,2010-03-08T00:00:00,0,14
DHAMANI JEWELS,54072,UAE,dubai,DUBAI,Diamond Manufacturer/Cutter,2009-12-14T00:00:00,0,15
DHANAK JEWELS,86219,INDIA,MUMBAI,Maharashtra,Jewelry Manufacturer,2012-10-05T00:00:00,0,12
DHANANJAY SHAH,82314,INDIA,MUMBAI,Maharashtra,Diamond Dealer/Broker,2012-02-21T00:00:00,0,12
DHANERA DIAMONDS,73874,INDIA,MUMBAI,Maharashtra,"Diamond Manufacturer/Cutter, Diamond Dealer/Broker",2010-03-04T00:00:00,0,14
DHANISHTA JEWELLER,114213,INDIA,Hyderabad,Andhra Pradesh,Jewelry Retailer,2019-08-16T00:00:00,0,5
DHANJIBHAI N BAPOTRA,81363,INDIA,SURAT,Gujarat,Diamond Manufacturer/Cutter,2011-12-19T00:00:00,0,13
DHANRAJ DHADDA AND SONS,96263,INDIA,MUMBAI,Maharashtra,Diamond Manufacturer/Cutter,2014-09-30T00:00:00,0,10
DHANYA DIAMOND,127807,INDIA,SURAT,Gujarat,,2024-04-17T00:00:00,0,Less than 1 year
DHARAM CREATIONS (HK) LTD.,58903,HONG KONG,HUNG HOM. KOWLOON,,Diamond Manufacturer/Cutter,2021-05-26T00:00:00,0,3
DHARAM EXPORT (INDIA) PRIVATE LIMITED,77847,INDIA,MUMBAI,Maharashtra,Diamond Manufacturer/Cutter,2011-03-29T00:00:00,0,13
Dharm Diam BV,39978,BELGIUM,Antwerp,Antwerp,Diamond Dealer/Broker,2021-02-19T00:00:00,0,3
DaVinci Fine Jewlery Inc.,94484,USA,Atlanta,Georgia,Independent Jeweler,2015-06-09T00:00:00,0,9
DAVIS DIAMOND,85464,SOUTH KOREA,jongro-gu,seoul,Jewelry Manufacturer,2012-08-21T00:00:00,0,12
Davis Jewelers,19354,USA,Louisville,Kentucky,Independent Jeweler,2013-08-28T00:00:00,0,11
Davoyan & Sons s.a.l.,83165,LEBANON,"Jdeide, Metn",Beirut,Diamond Dealer/Broker,2012-03-29T00:00:00,0,12
Davril Diamond Merchants & Jewellers,91142,UNITED KINGDOM,London,,Independent Jeweler,2013-09-12T00:00:00,0,11
DaXing Jewelry,121298,CHINA,Shishi,Guangdong,Diamond Dealer/Broker,2021-10-25T00:00:00,0,3
DAY KARKAL LIMITED,120144,HONG KONG,TSIM SHA TSUI,,Jewelry Retail Chain 1-5 Stores,2021-06-02T00:00:00,0,3
Day Trade Diamonds Inc.,87562,USA,Los Angeles,California,Diamond Dealer/Broker,2013-01-02T00:00:00,1,11
DAYAGI AVRAHAM DIAMONDS LTD.,50978,ISRAEL,Ramat Gan,,Diamond Manufacturer/Cutter,2006-05-31T00:00:00,0,18
Dayato Gems Ltd.,122324,ISRAEL,Ramat Gan,,Diamond Dealer/Broker,1999-01-29T00:00:00,0,25
Dazzle Craft LLP,120837,INDIA,Mumbai,Maharashtra,,2021-08-25T00:00:00,0,3
DAZZLE DIAMONDS - ganeshan,127920,INDIA,Chennai,Tamil Nadu,Jewelry Retailer,2024-05-03T00:00:00,0,Less than 1 year
Dazzle Diamonds London Ltd,117105,UNITED KINGDOM,london,,Jewelry Retailer,2020-07-29T00:00:00,0,4
DAZZLE FZCO,106108,UAE,Dubai,UAE,Jewelry Retailer,2017-03-29T00:00:00,0,7
"Dazzle Imports, Inc.",85901,USA,Atlanta,Georgia,Diamond Dealer/Broker,2012-09-13T00:00:00,0,12
DB Jewelry Limited,100929,TAIWAN,Taipei,,Jewelry Retail Chain,2015-10-08T00:00:00,0,9
Dblux srl,84480,ITALY,Vicenza,Agrigento,Diamond Dealer/Broker,2013-06-14T00:00:00,0,11
DBS Diamonds Inc.,55283,USA,LOS ANGELES,California,"Diamond Manufacturer/Cutter, Diamond Dealer/Broker",2007-05-15T00:00:00,0,17
DC Crystals,107230,UKRAINE,Kiev,,Diamond Dealer/Broker,2017-08-14T00:00:00,0,7
DC DIAMOND,123979,INDIA,CENTRAL DELHHI,Delhi,Diamond Dealer/Broker,2022-09-28T00:00:00,0,2
DC Diamond Constellation Pvt Ltd,118775,INDIA,New Delhi,Delhi,Jewelry Retailer,2021-01-29T00:00:00,0,3
DC Group inc,115651,USA,New York,New York,Jewelry Manufacturer,2020-01-02T00:00:00,0,4
DCL Limited,104844,HONG KONG,"Tsim Sha Tsui, Kln",HONG KONG,Jewelry Retailer,2016-10-25T00:00:00,0,8
DD & A Designer Jewelry,74236,USA,Cedar Falls,Iowa,Independent Jeweler,2010-04-14T00:00:00,0,14
DDAZZLE DIAMOND,83456,INDIA,MUMBAI,Maharashtra,Diamond Dealer/Broker,2012-04-05T00:00:00,0,12
Deluxe international(HK) LTD,111128,HONG KONG,Kowloon,,Diamond Dealer/Broker,2018-10-24T00:00:00,0,6
DELUXE JEWELS,75480,INDIA,MUMBAI,Maharashtra,Jewelry Manufacturer,2010-09-01T00:00:00,0,14
DEMICHELI TRADING FZC,115927,UAE,DUBAI,,Independent Jeweler,2020-01-31T00:00:00,0,4
"Demirjian Jewelers Design, LLC",116079,USA,Phoenix,Arizona,"Independent Jeweler, Designer",2020-02-18T12:10:00,1,4
"Demond Gems, Inc",116299,USA,Miami,Florida,"Diamond Dealer/Broker, Gold Buyer",2020-03-26T00:00:00,0,4
Demonte Diamond LLP,125682,INDIA,Surat,Gujarat,Diamond Manufacturer/Cutter,2023-06-12T00:00:00,0,1
Den Don Design Ltd,118608,BULGARIA,Sofia,,"Jewelry Manufacturer, Jewelry Retailer",2021-01-14T00:00:00,0,3
"Dena Kemp, Inc.",50633,USA,Beverly Hills,California,Jewelry Manufacturer,2006-06-06T00:00:00,0,18
DENIR DIAMONDS,43873,ISRAEL,Ramat Gan,,Diamond Dealer/Broker,2006-07-13T00:00:00,0,18
Dennis J. Dalton Ltd.,37226,USA,New York,New York,Independent Jeweler,2006-03-30T00:00:00,0,18
Dennis Jewelry.,119058,CHINA,Shenzhen,Guangdong,Independent Jeweler,2021-02-24T00:00:00,0,3
"Dennis Juwelen, Inh. Abi Weber",106991,GERMANY,Frankfurt am Main,,Independent Jeweler,2017-07-18T00:00:00,0,7
Dennis Kam Inc,125105,USA,New York,New York,Jewelry Retailer,2023-03-16T00:00:00,0,1
Denver Trading Co.,112822,USA,Denver,Colorado,Diamond Dealer/Broker,2018-12-22T00:00:00,0,6
Derco Fine Jewelers,5528,USA,San Francisco,California,"Diamond Dealer/Broker, Independent Jeweler, Jewelry Manufacturer",1999-12-23T00:00:00,0,25
"DERMOND (THAILAND) CO.,LTD (D'MOND)",9390,THAILAND,Bangkok,,Independent Jeweler 6-10 Stores,2000-12-27T00:00:00,0,24
Derosa LLC,123350,ARMENIA,Erevan,,Jewelry Manufacturer,2022-06-23T00:00:00,0,2
DESAI ASSOCIATES,104048,INDIA,Mumbai,Maharashtra,Independent Jeweler,2016-07-08T00:00:00,0,8
Desai Diamond Co Ltd,119209,THAILAND,Bangkok,Amnat Charoen,Diamond Dealer/Broker,2018-02-08T00:00:00,0,6
Desarrolladora Stars SA de CV,98295,MEXICO,Ciudad de México,,Independent Jeweler,2017-10-09T00:00:00,0,7
DESCENZA & SON INC,1375,USA,Boston,Massachusetts,Independent Jeweler,2006-03-07T00:00:00,0,18
Desert Diamond Jewelers,120554,USA,Las Vegas,Nevada,Jewelry Retailer,2021-07-19T00:00:00,0,3
DESERT JEWELS,116027,INDIA,MUMBAI,Maharashtra,Jewelry Manufacturer,2020-02-12T00:00:00,0,4
Design Gold Group / Matthew's Jewelers,32672,USA,plantation,Florida,Jewelry Manufacturer,2007-02-08T00:00:00,0,17
Design Jewelers,21965,USA,San Francisco,California,Independent Jeweler,1999-05-14T00:00:00,0,25
DIAM N JEWELS,112528,INDIA,SURAT,Gujarat,Diamond Dealer/Broker,2019-03-19T00:00:00,1,5
DIAM SOURCE LLP,105488,INDIA,Bandra,Maharashtra,Diamond Dealer/Broker,2017-01-20T00:00:00,0,7
DIAM STAR,75794,INDIA,MUMBAI,Maharashtra,Diamond Dealer/Broker,2010-10-11T00:00:00,0,14
"Diam Ventures, Inc.",37455,USA,Los Angeles,California,"Diamond Dealer/Broker, Jewelry Manufacturer",2005-08-03T00:00:00,0,19
Diam World (Thailand) Company Limited,113800,THAILAND,Bangkok,,Jewelry Retailer,2019-07-01T00:00:00,0,5
DIAMA LTD.,127343,HONG KONG,CENTRAL,,Diamond Manufacturer/Cutter,2024-03-07T00:00:00,0,Less than 1 year
DIAMANI JEWELS BV,93090,BELGIUM,Antwerpen,,Diamond Dealer/Broker,2014-02-07T00:00:00,0,10
Diamania Jewelry Limited,90459,HONG KONG,Hong Kong,?????????,Independent Jeweler,2013-07-23T00:00:00,0,11
Diamano Jewelry,89970,USA,Pasadena,California,Independent Jeweler,2018-06-28T00:00:00,0,6
Diamant Agentur GmbH,94758,GERMANY,Oberursel,Hessen,Independent Jeweler,2014-06-06T00:00:00,0,10
Diamant Impex,118209,BELGIUM,Antwerp,Antwerp,Diamond Dealer/Broker,2020-11-23T00:00:00,0,4
DIAMANTAIRE Bvba,74426,BELGIUM,Antwerp,,Diamond Manufacturer/Cutter,2010-05-17T00:00:00,0,14
Diamantaire Diamonds,98734,SOUTH KOREA,Busan,Busan,Independent Jeweler,2015-04-14T00:00:00,0,9
DIAMANTAIRE GEMS - F.Z.E,101184,UAE,dubai,dubai,Diamond Dealer/Broker,2015-11-03T00:00:00,0,9
Diamantaire- Sushant Jain,121740,INDIA,New Delhi,Delhi,,2021-12-20T05:57:00,0,3
Diamante,28933,USA,New York,New York,Diamond Dealer/Broker,2008-05-01T00:00:00,0,16
Diamante Cycle Inc,102829,USA,New york,New York,Diamond Dealer/Broker,2016-03-10T00:00:00,0,8
Diamantes Creados SAPI de CV,120671,MEXICO,San Pedro Garza Garcia,Aguascalientes,"Independent Jeweler, Jewelry Retailer",2023-10-11T00:00:00,0,1
Diamantesa Herz SL,125851,SPAIN,,,Diamond and Jewelry Dealer/Broker,2024-08-27T00:00:00,0,Less than 1 year
Diamanti Nobili,110496,ISRAEL,Ramat Gan,Central District,Diamond Manufacturer/Cutter,2023-01-31T08:35:00,0,1
Diamanti NYC LLC,124717,USA,Nyc,New York,Jewelry Retailer,2023-01-23T15:55:00,0,1
"Diamantier, s.r.o.",119062,SLOVAK REPUBLIC,Trencin,,"Jewelry Retail Chain 1-5 Stores, Jewelry Retailer",2021-02-25T00:00:00,0,3
DIAMANTINE COMPANY PRIVATE LIMITED,93875,INDIA,MUMBAI,Maharashtra,Diamond Dealer/Broker,2014-03-27T00:00:00,0,10
Diamanto J. Suarez S.L. - Madrid 1,103852,SPAIN,MADRID,,Independent Jeweler,2016-06-16T00:00:00,0,8
"Diamantra, Inc. (Austin)",121270,USA,Austin,Texas,Wholesaler ,2021-10-20T00:00:00,0,3
"DDS-DIRECT DIAMOND SOLUTIONS, LLC",100762,USA,Boca Raton,Florida,Diamond Manufacturer/Cutter,2015-09-17T00:00:00,0,9
De Beers,100120,BOTSWANA,Gaborone,Botswana,Diamond Mining,2015-07-19T00:00:00,0,9
DE BEERS DIAMOND JEWELLERS LTD.,61781,UNITED KINGDOM,London,,Diamond Mining,2006-05-11T00:00:00,0,18
DE BEERS INDIA PRIVATE LIMITED,122830,INDIA,Mumbai,Maharashtra,Jewelry Manufacturer,2022-04-07T00:00:00,0,2
De Beers UK Ltd,56353,UNITED KINGDOM,London,,Rough Diamond Dealer,2010-02-22T00:00:00,0,14
DE ECLAT,103972,HONG KONG,Hong Kong,,Diamond Dealer/Broker,2016-06-28T00:00:00,0,8
DE GLINT DIAMONDS AND JEWELLERY LLP,129287,INDIA,,,,2024-09-12T00:00:00,0,Less than 1 year
DE GOUDSHOP,54210,NETHERLANDS,DEN HAAG,,Independent Jeweler,2020-03-06T00:00:00,0,4
De Hago,82466,USA,New York,New York,Jewelry Manufacturer,2012-02-28T00:00:00,0,12
De Huang Heng Mei Shanghai Limited,86917,CHINA,Shanghai,Shanghai,Diamond Dealer/Broker,2012-11-14T00:00:00,0,12
DE NADER JEWELRY GROUP LLC,122250,USA,MIAMI,Florida,"Jewelry Retail Chain 1-5 Stores, Online Jewelry Store",2022-02-09T00:00:00,0,2
De Robertis Jewelers,13585,USA,W. Hartford,Connecticut,Independent Jeweler 1-5 Stores,2011-08-17T00:00:00,0,13
De Silva Collections,32547,USA,Wooster,Ohio,Independent Jeweler,2013-02-27T00:00:00,0,11
DE SUPER DIAMOND INDIA LLP,108827,INDIA,MUMBAI,Maharashtra,Independent Jeweler,2018-02-19T00:00:00,0,6
Deal Zone LLC,128345,USA,Boston,Massachusetts,Gold Buyer,2024-06-26T00:00:00,0,Less than 1 year
Dealers in Dreams,79299,USA,Bethesda,Maryland,Independent Jeweler,2017-10-03T00:00:00,0,7
Deblinger Diamonds,70566,UNITED KINGDOM,London,England,Diamond Dealer/Broker,2009-02-06T00:00:00,0,15
DEBOULLE DIAM & JEWELRY,7925,USA,Dallas,Texas,Independent Jeweler,1999-08-02T00:00:00,0,25
"Debra Lewin, G.G. Fine Jewelry Consultant",122112,USA,NY,New York,Independent Jeweler,2022-01-27T00:00:00,0,2
Debs Jewelers & Gemologists,7007,USA,Philadelphia,Pennsylvania,Independent Jeweler,2006-03-17T00:00:00,0,18
Decatur Jewelry & Pawn,76727,USA,Decatur,Illinois,Independent Jeweler,2021-06-23T00:00:00,0,3
Decent Jewellers,106517,INDIA,Pune,Maharashtra,Independent Jeweler 1-5 Stores,2017-05-16T00:00:00,0,7
DECKWELL GOLD INTERNATIONAL LIMITED,89311,HONG KONG,HongKong,,Diamond Dealer/Broker,2013-05-01T00:00:00,0,11
Deco Diamonds Inc,75908,USA,NY,New York,Independent Jeweler,2010-10-20T00:00:00,0,14
Decor Interiors Inc,34091,USA,Chesterfield,Missouri,Independent Jeweler,2009-11-30T00:00:00,0,15
Diacolor,101964,USA,New York,New York,Diamond Dealer/Broker,2015-12-29T00:00:00,0,9
DIACOLOR INDIA PVT LTD,111886,INDIA,"306, DLF EMPORIO, VASANT KUNJ",Delhi,Diamond Dealer/Broker,2019-01-28T00:00:00,0,5
DIACOR DIAMONDS,111743,INDIA,SURAT,Gujarat,"Diamond Manufacturer/Cutter, Designer",2019-01-15T00:00:00,0,5
DIACORP BVBA,94419,BELGIUM,Antwerp,,Diamond Dealer/Broker,2014-05-12T00:00:00,0,10
Diacraft Exports LLP,127921,INDIA,Surat,Gujarat,Diamond Manufacturer/Cutter,2024-05-03T00:00:00,0,Less than 1 year
DIACREST JEWELS LLP,113208,INDIA,Mumbai,Maharashtra,Independent Jeweler,2019-05-13T00:00:00,0,5
"Diacrest, Inc.",92024,USA,Cerritos,California,Diamond Dealer/Broker,2014-05-02T00:00:00,0,10
DIACROWN,70861,INDIA,MUMBAI,Maharashtra,Diamond Dealer/Broker,2009-04-01T00:00:00,0,15
Diadem Diamonds limited,87028,HONG KONG,kowloon,,"Diamond Dealer/Broker, Independent Jeweler",2012-11-21T00:00:00,1,12
Diafro,89024,HONG KONG,Hong Kong,,Diamond Dealer/Broker,2013-04-16T00:00:00,0,11
DIAFUEGO GULF DMCC,83458,UAE,DUBAI,,"Diamond Dealer/Broker, Jewelry Manufacturer",2012-04-05T00:00:00,0,12
"Diagem, Inc.",52440,USA,CHICAGO,Illinois,Diamond Dealer/Broker,2005-05-18T00:00:00,0,19
DIAGLOW GEMS PVT LTD,119448,INDIA,MUMBAI,Maharashtra,Diamond Dealer/Broker,2021-03-30T00:00:00,0,3
Diaglow LLC,122719,USA,New York,New York,Diamond Dealer/Broker,2022-07-15T00:00:00,0,2
DIAGOLD JEWELS PVT LTD,61789,INDIA,KOLKATA,West Bengal,Independent Jeweler,2010-06-14T00:00:00,0,14
Diagonal diamonds,117776,BELGIUM,Antwerp,,Diamond Dealer/Broker,2020-10-06T00:00:00,0,4
DIAGONE,108512,FRANCE,Caluire et Cuire,,Diamond Dealer/Broker,2018-01-11T04:37:00,0,6
Diahearts,118808,UNITED KINGDOM,London,,"Diamond Dealer/Broker, Online Jewelry Store",2014-09-01T00:00:00,0,10
Diajewel NV,21075,BELGIUM,Antwerpen,,Diamond Dealer/Broker,2010-12-13T00:00:00,0,14
DIAKRAFF DMCC,125539,UAE,DUBAI,Dubai,Diamond Manufacturer/Cutter,2023-05-16T00:00:00,0,1
Dialuster Inc,88839,JAPAN,Tokyo,,Diamond Dealer/Broker,2019-02-18T00:00:00,0,5
Dialuster USA Inc,69597,USA,New York,New York,Diamond Dealer/Broker,2008-07-18T00:00:00,0,16
Diam & Estate Jewelry Inc.,4440,USA,Los Angeles,California,Diamond Dealer/Broker,2010-03-11T00:00:00,0,14
Diam & Gems International Group srl,95295,ITALY,marcianise,caserta,"Diamond Dealer/Broker, Jewelry Manufacturer, Colored Stone Dealer/Broker",2014-07-18T00:00:00,0,10
"Diam Inter (Thai) Co., Ltd.",100387,THAILAND,Bangkok,Amnat Charoen,Diamond Dealer/Broker,2015-08-14T00:00:00,0,9
Design Jewellers,114379,CANADA,Edmonton,Alberta,Independent Jeweler,2019-09-06T00:00:00,0,5
DESIGN JEWELRY INC,16608,USA,Newton,Massachusetts,Independent Jeweler,2007-06-04T00:00:00,0,17
Design My Diamond Ltd.,103983,UNITED KINGDOM,London,,Independent Jeweler,2016-06-30T00:00:00,0,8
Design One Jewelers,30869,USA,Clearwater,Florida,Independent Jeweler,2022-02-16T00:00:00,0,2
Designer Jewellery Ltd.,70959,IRELAND,Dublin 2,Carlow,Jewelry Manufacturer,2016-05-04T00:00:00,0,8
DESIGNLOGY,125806,INDIA,MUMBAI,Maharashtra,Diamond Manufacturer/Cutter,2023-06-23T00:00:00,0,1
Designs by CC,111853,USA,Portland,Maine,Jewelry Manufacturer,2019-01-23T00:00:00,0,5
"Designs By Flora, Inc.",26180,USA,Dallas,Texas,Independent Jeweler,2011-10-17T00:00:00,0,13
"DESIGNS BY JOI FRANKEL,INC",124782,USA,New York,New York,Independent Jeweler,2023-01-31T13:53:00,0,1
Designs By Labelle jewelry inc,110644,USA,Paramus,New Jersey,Jewelry Retailer,2018-09-05T00:00:00,0,6
"Designs by Ruth, Ltd.",56535,USA,New York,New York,Diamond Dealer/Broker,2013-04-09T00:00:00,0,11
DeSimone Jewelers,115286,USA,Haddonfield,New Jersey,Jewelry Manufacturer,2019-11-27T00:00:00,0,5
Despi-Astigi SL,75234,SPAIN,cornella de llobregat,Barcelona,Diamond Dealer/Broker,2011-07-20T00:00:00,0,13
DESTINY,113155,INDIA,MUMBAI,Maharashtra,"Diamond Manufacturer/Cutter, Rough Diamond Dealer",2019-05-07T00:00:00,0,5
Destiny Diamond Corp.,46320,USA,Great Neck,New York,"Diamond Dealer/Broker, Jewelry Manufacturer",2010-03-15T00:00:00,0,14
DESTINY DIAMONDS FZC,122585,UAE,SHARJAH,,Not Set,2022-03-09T00:00:00,0,2
